Ingredients;Foodgroup;unit_enhet;g;reference;ID;language
Corn flakes, søtet, type Frosties;Korn frokostblanding;dl;16;a;84;norwegian
Corn flakes, sweetened, Frosties;Grain breakfast cereal;dl;16;a;84;english
Corn flakes, søtet, type Frosties;Korn frokostblanding;tbsp;3;a;84;norwegian
Corn flakes, sweetened, Frosties;Grain breakfast cereal;tbsp;3;a;84;english
Corn flakes, søtet, type Frosties;Korn frokostblanding;portion;35;ģ;84;norwegian
Corn flakes, sweetened, Frosties;Grain breakfast cereal;portion;35;ģ;84;english
Frokostkorn med sjokoladesmak;Korn frokostblanding;dl;15;a;155;norwegian
Breakfast cereal, chocolate flavored;Grain breakfast cereal;dl;15;a;155;english
Frokostkorn med sjokoladesmak;Korn frokostblanding;tbsp;3;a;155;norwegian
Breakfast cereal, chocolate flavored;Grain breakfast cereal;tbsp;3;a;155;english
Frokostkorn med sjokoladesmak;Korn frokostblanding;portion;35;ģ;155;norwegian
Breakfast cereal, chocolate flavored;Grain breakfast cereal;portion;35;ģ;155;english
Havreputer;Korn frokostblanding;dl;12;a;212;norwegian
Oat pillows;Grain breakfast cereal;dl;12;a;212;english
Havreputer;Korn frokostblanding;tbsp;2,5;a;212;norwegian
Oat pillows;Grain breakfast cereal;tbsp;2,5;a;212;english
Havreputer;Korn frokostblanding;portion;35;ģ;212;norwegian
Oat pillows;Grain breakfast cereal;portion;35;ģ;212;english
Müsli, kornblanding;Korn frokostblanding;dl;50;a;410;norwegian
Muesli;Grain breakfast cereal;dl;50;a;410;english
Müsli, kornblanding;Korn frokostblanding;tbsp;7;a;410;norwegian
Muesli;Grain breakfast cereal;tbsp;7;a;410;english
Müsli, kornblanding;Korn frokostblanding;portion;100;ģ;410;norwegian
Muesli;Grain breakfast cereal;portion;100;ģ;410;english
Puffet havre, havrenøtter;Korn frokostblanding;dl;9;a;479;norwegian
Puffed oats;Grain breakfast cereal;dl;9;a;479;english
Puffet havre, havrenøtter;Korn frokostblanding;tbsp;2;a;479;norwegian
Puffed oats;Grain breakfast cereal;tbsp;2;a;479;english
Puffet havre, havrenøtter;Korn frokostblanding;portion;35;ģ;479;norwegian
Puffed oats;Grain breakfast cereal;portion;35;ģ;479;english
Puffet hvete, hvetenøtter;Korn frokostblanding;dl;9;f;480;norwegian
Puffed wheat;Grain breakfast cereal;dl;9;f;480;english
Puffet hvete, hvetenøtter;Korn frokostblanding;tbsp;2;f;480;norwegian
Puffed wheat;Grain breakfast cereal;tbsp;2;f;480;english
Puffet hvete, hvetenøtter;Korn frokostblanding;portion;35;ģ;480;norwegian
Puffed wheat;Grain breakfast cereal;portion;35;ģ;480;english
Puffet hvete, med sukker og honning, type Honnikorn;Korn frokostblanding;dl;13;a;481;norwegian
Puffed wheat, with sugar and honey, Honnikorn;Grain breakfast cereal;dl;13;a;481;english
Puffet hvete, med sukker og honning, type Honnikorn;Korn frokostblanding;tbsp;2,5;f;481;norwegian
Puffed wheat, with sugar and honey, Honnikorn;Grain breakfast cereal;tbsp;2,5;f;481;english
Puffet hvete, med sukker og honning, type Honnikorn;Korn frokostblanding;portion;35;ģ;481;norwegian
Puffed wheat, with sugar and honey, Honnikorn;Grain breakfast cereal;portion;35;ģ;481;english
Puffet ris;Korn frokostblanding;dl;9;a;482;norwegian
Puffed rice;Grain breakfast cereal;dl;9;a;482;english
Puffet ris;Korn frokostblanding;tbsp;2;a;482;norwegian
Puffed rice;Grain breakfast cereal;tbsp;2;a;482;english
Puffet ris;Korn frokostblanding;portion;35;ģ;482;norwegian
Puffed rice;Grain breakfast cereal;portion;35;ģ;482;english
Ristet havre, med frukt, olje, type Crüsli;Korn frokostblanding;dl;40;a;509;norwegian
Breakfast cereal with oats, fruit and oil, Crüsli;Grain breakfast cereal;dl;40;a;509;english
Ristet havre, med frukt, olje, type Crüsli;Korn frokostblanding;tbsp;6;a;509;norwegian
Breakfast cereal with oats, fruit and oil, Crüsli;Grain breakfast cereal;tbsp;6;a;509;english
Ristet havre, med frukt, olje, type Crüsli;Korn frokostblanding;portion;100;ģ;509;norwegian
Breakfast cereal with oats, fruit and oil, Crüsli;Grain breakfast cereal;portion;100;ģ;509;english
Ristet hvete og ris, type Spesial K;Korn frokostblanding;dl;20;a;510;norwegian
Breakfast cereal with wheat and rice, Special K;Grain breakfast cereal;dl;20;a;510;english
Ristet hvete og ris, type Spesial K;Korn frokostblanding;tbsp;3,5;a;510;norwegian
Breakfast cereal with wheat and rice, Special K;Grain breakfast cereal;tbsp;3,5;a;510;english
Ristet hvete og ris, type Spesial K;Korn frokostblanding;portion;35;ģ;510;norwegian
Breakfast cereal with wheat and rice, Special K;Grain breakfast cereal;portion;35;ģ;510;english
Ristet hveteflak, type All-bran regular;Korn frokostblanding;dl;18;a;511;norwegian
Breakfast cereal, All-bran regular;Grain breakfast cereal;dl;18;a;511;english
Ristet hveteflak, type All-bran regular;Korn frokostblanding;tbsp;3,5;a;511;norwegian
Breakfast cereal, All-bran regular;Grain breakfast cereal;tbsp;3,5;a;511;english
Ristet hveteflak, type All-bran regular;Korn frokostblanding;portion;35;ģ;511;norwegian
Breakfast cereal, All-bran regular;Grain breakfast cereal;portion;35;ģ;511;english
Ristet hvetekli, type All-bran plus;Korn frokostblanding;dl;25;a;512;norwegian
Breakfast cereal, All-bran plus;Grain breakfast cereal;dl;25;a;512;english
Ristet hvetekli, type All-bran plus;Korn frokostblanding;tbsp;4;a;512;norwegian
Breakfast cereal, All-bran plus;Grain breakfast cereal;tbsp;4;a;512;english
Ristet hvetekli, type All-bran plus;Korn frokostblanding;portion;35;ģ;512;norwegian
Breakfast cereal, All-bran plus;Grain breakfast cereal;portion;35;ģ;512;english
Brød, ekstra grovt;Korn brød hjemmelaget;Middels skive;45;a;54;norwegian
Bread, extra coarse;Grains bread homemade;medium slice;45;a;54;english
Brød, grovt;Korn brød hjemmelaget;Middels skive;45;a;55;norwegian
Bread, coarse;Grains bread homemade;medium slice;45;a;55;english
Brød, halvgrovt;Korn brød hjemmelaget;Middels skive;45;a;56;norwegian
Bread, semi-coarse;Grains bread homemade;medium slice;45;a;56;english
Glutenfritt brød, fint;Korn brød hjemmelaget;Middels skive;40;a;173;norwegian
Gluten-free bread, fine;Grains bread homemade;medium slice;40;a;173;english
Glutenfritt brød, grovt;Korn brød hjemmelaget;Middels skive;45;a;174;norwegian
Gluten-free bread, coarse;Grains bread homemade;medium slice;45;a;174;english
Loff;Korn brød hjemmelaget;Middels skive;50;a;354;norwegian
Bread, white;Grains bread homemade;medium slice;50;a;354;english
Brød, ekstra grovt;Korn brød kjøpt;Middels skive;50;a;54;norwegian
Bread, extra coarse;Grains bread storebought;medium slice;50;a;54;english
Brød, grovt;Korn brød kjøpt;Middels skive;40;a;55;norwegian
Bread, coarse;Grains bread storebought;medium slice;40;a;55;english
Brød, halvgrovt;Korn brød kjøpt;Middels skive;40;a;56;norwegian
Bread, semi-coarse;Grains bread storebought;medium slice;40;a;56;english
Loff, formstekt;Korn brød kjøpt;Middels skive;40;a;355;norwegian
Bread, white, square-shaped;Grains bread storebought;medium slice;40;a;355;english
Loff, spiral;Korn brød kjøpt;Middels skive;30;a;356;norwegian
Bread, white, spirally shaped;Grains bread storebought;medium slice;30;a;356;english
Pumpernikkel;Korn brød kjøpt;Middels skive;40;o;484;norwegian
Pumpernickel;Grains bread storebought;medium slice;40;o;484;english
Rugbrød, grovt;Korn brød kjøpt;Middels skive;60;o;522;norwegian
Bread, rye, coarse;Grains bread storebought;medium slice;60;o;522;english
Rundstykke, fint;Korn rundstykke hjemmelaget;stk;45;a;527;norwegian
Rolls, white;Grains rolls homemade;one;45;a;527;english
Rundstykke, grovt;Korn rundstykke hjemmelaget;stk;70;a;528;norwegian
Rolls, coarse;Grains rolls homemade;one;70;a;528;english
Baguette, halvstekt;Korn rundstykke kjøpt;stk;75;NA;24;norwegian
Baguette, halvstekt;Korn rundstykke kjøpt;stk;150;o.u;24;norwegian
Baguette, half-baked;Grains rolls storebought;one;75;NA;24;english
Baguette, half-baked;Grains rolls storebought;one;150;o.u;24;english
Hamburgerbrød;Korn rundstykke kjøpt;stk;80;o.u;207;norwegian
Hamburger bun;Grains rolls storebought;one;80;o.u;207;english
Lompe;Korn rundstykke kjøpt;stk;25;NA;357;norwegian
Lompe;Korn rundstykke kjøpt;stk;35;o.u;357;norwegian
Potato soft flatbread;Grains rolls storebought;one;25;NA;357;english
Potato soft flatbread;Grains rolls storebought;one;35;o.u;357;english
Pitabrød;Korn rundstykke kjøpt;stk;75;o.u;460;norwegian
Pita bread;Grains rolls storebought;one;75;o.u;460;english
Pizzabunn;Korn rundstykke kjøpt;stk;550;a;462;norwegian
Pizza crust;Grains rolls storebought;one;550;a;462;english
Pølsebrød;Korn rundstykke kjøpt;stk;30;NA;488;norwegian
Pølsebrød;Korn rundstykke kjøpt;stk;60;o.u;488;norwegian
Hot dog bun;Grains rolls storebought;one;30;NA;488;english
Hot dog bun;Grains rolls storebought;one;60;o.u;488;english
Rundstykke, fint;Korn rundstykke kjøpt;stk;85;a.u;526;norwegian
Rolls, fine;Grains rolls storebought;one;85;a.u;526;english
Rundstykke, grovt;Korn rundstykke kjøpt;stk;70;NA;528;norwegian
Rundstykke, grovt;Korn rundstykke kjøpt;stk;100;NA;528;norwegian
Rundstykke, grovt;Korn rundstykke kjøpt;stk;145;a.o,u;528;norwegian
Rolls, coarse;Grains rolls storebought;one;70;NA;528;english
Rolls, coarse;Grains rolls storebought;one;100;NA;528;english
Rolls, coarse;Grains rolls storebought;one;145;a.o,u;528;english
Tortilla, hvetelefse, fin;Korn rundstykke kjøpt;stk;40;NA;645;norwegian
Tortilla, hvetelefse, fin;Korn rundstykke kjøpt;stk;60;o.u;645;norwegian
Tortilla, wheat flour;Grains rolls storebought;one;40;NA;645;english
Tortilla, wheat flour;Grains rolls storebought;one;60;o.u;645;english
Tortilla, hvetelefse, fullkorn;Korn rundstykke kjøpt;stk;40;NA;646;norwegian
Tortilla, hvetelefse, fullkorn;Korn rundstykke kjøpt;stk;60;o.u;646;norwegian
Tortilla, wheat flour, wholemeal;Grains rolls storebought;one;40;NA;646;english
Tortilla, wheat flour, wholemeal;Grains rolls storebought;one;60;o.u;646;english
Tortilla, maislefse;Korn rundstykke kjøpt;stk;40;u;647;norwegian
Tortilla, corn flour;Grains rolls storebought;one;40;u;647;english
Flatbrød;Korn kjeks flatbrød knekkebrød;stk;4;ag;148;norwegian
Flatbrød;Korn kjeks flatbrød knekkebrød;stk;20;a;148;norwegian
Flatbread, hard;Grains biscuits;one;4;ag;148;english
Flatbread, hard;Grains biscuits;one;20;a;148;english
Flatbrød, med havre;Korn kjeks flatbrød knekkebrød;stk;5;m;149;norwegian
Flatbread, hard, with oats;Grains biscuits;one;5;m;149;english
Glutenfritt knekkebrød;Korn kjeks flatbrød knekkebrød;stk;13;t;175;norwegian
Gluten-free crisp bread;Grains biscuits;one;13;t;175;english
Glutenfritt knekkebrød, hjemmelaget;Korn kjeks flatbrød knekkebrød;stk;13;u;176;norwegian
Gluten-free crisp bread, home made;Grains biscuits;one;13;u;176;english
Knekkebrød, lyst;Korn kjeks flatbrød knekkebrød;stk;14;t;288;norwegian
Crisp bread, light;Grains biscuits;one;14;t;288;english
Knekkebrød, med ekstra fiber;Korn kjeks flatbrød knekkebrød;stk;11;t;289;norwegian
Crisp bread, with extra fiber;Grains biscuits;one;11;t;289;english
Knekkebrød, med havre;Korn kjeks flatbrød knekkebrød;stk;18;t;290;norwegian
Crisp bread, with oats;Grains biscuits;one;18;t;290;english
Knekkebrød, med rug, grovt;Korn kjeks flatbrød knekkebrød;stk;12;i;291;norwegian
Crisp bread, with rye, brown;Grains biscuits;one;12;i;291;english
Knekkebrød, med rug, type Husman;Korn kjeks flatbrød knekkebrød;stk;14;t;292;norwegian
Crisp bread, with rye, Husman;Grains biscuits;one;14;t;292;english
Knekkebrød, tynt, type Rugsprø, Finncrisp;Korn kjeks flatbrød knekkebrød;stk;11;t;293;norwegian
Crisp bread, thin, Rugsprø, Finncrisp;Grains biscuits;one;11;t;293;english
Riskaker, lettsaltet;Korn kjeks flatbrød knekkebrød;stk;1,5;a;506;norwegian
Riskaker, lettsaltet;Korn kjeks flatbrød knekkebrød;stk;7;t;506;norwegian
Rice cake, with salt;Grains biscuits;one;1,5;a;506;english
Rice cake, with salt;Grains biscuits;one;7;t;506;english
Riskaker, usaltet;Korn kjeks flatbrød knekkebrød;stk;6;u;507;norwegian
Rice cake, without salt;Grains biscuits;one;6;u;507;english
Tacobåter, trays, tubs;Korn kjeks flatbrød knekkebrød;stk;20;u;629;norwegian
Taco boats;Grains biscuits;one;20;u;629;english
Tacoskjell;Korn kjeks flatbrød knekkebrød;stk;12;u;632;norwegian
Taco shell;Grains biscuits;one;12;u;632;english
Barnekjeks;Korn kjeks flatbrød knekkebrød;stk;3;s;28;norwegian
Biscuit, for childen;Grains biscuits;one;3;s;28;english
Barnekjeks med sjokolade;Korn kjeks flatbrød knekkebrød;stk;7;NA;29;norwegian
Barnekjeks med sjokolade;Korn kjeks flatbrød knekkebrød;stk;13;o;29;norwegian
Biscuit, with chocolate, for children;Grains biscuits;one;7;NA;29;english
Biscuit, with chocolate, for children;Grains biscuits;one;13;o;29;english
Bixit;Korn kjeks flatbrød knekkebrød;stk;16;s;34;norwegian
Biscuit, with oats, Bixit;Grains biscuits;one;16;s;34;english
Cookies, små;Korn kjeks flatbrød knekkebrød;stk;11;a.s;81;norwegian
Cookies, small;Grains biscuits;one;11;a.s;81;english
Cookies, store;Korn kjeks flatbrød knekkebrød;stk;55;NA;82;norwegian
Cookies, store;Korn kjeks flatbrød knekkebrød;stk;85;a.o;82;norwegian
Cookies, large;Grains biscuits;one;55;NA;82;english
Cookies, large;Grains biscuits;one;85;a.o;82;english
Cream cracker;Korn kjeks flatbrød knekkebrød;stk;11;a;88;norwegian
Cream cracker;Grains biscuits;one;11;a;88;english
Digestive, havrekjeks;Korn kjeks flatbrød knekkebrød;stk;15;s;93;norwegian
Biscuit, with oats, Digestive;Grains biscuits;one;15;s;93;english
Frokost cracker;Korn kjeks flatbrød knekkebrød;stk;9;s;154;norwegian
Cracker, Frokost;Grains biscuits;one;9;s;154;english
Gjende;Korn kjeks flatbrød knekkebrød;stk;7;s;169;norwegian
Biscuit, Gjende;Grains biscuits;one;7;s;169;english
Kaptein;Korn kjeks flatbrød knekkebrød;stk;7;s;262;norwegian
Cracker, Kaptein;Grains biscuits;one;7;s;262;english
Kavring;Korn kjeks flatbrød knekkebrød;stk;9;n;270;norwegian
Rusk;Grains biscuits;one;9;n;270;english
Kjeks fylt med syltetøy eller frukt;Korn kjeks flatbrød knekkebrød;stk;13;a.s;276;norwegian
Biscuit, filled with jam or fruit;Grains biscuits;one;13;a.s;276;english
Kjeks med havre og sjokolade;Korn kjeks flatbrød knekkebrød;stk;13;s;277;norwegian
Biscuit, with oats and chocolate;Grains biscuits;one;13;s;277;english
Kjeks med kremfyll;Korn kjeks flatbrød knekkebrød;stk;13;s;278;norwegian
Biscuit, filled;Grains biscuits;one;13;s;278;english
Kornmo;Korn kjeks flatbrød knekkebrød;stk;9;s;304;norwegian
Cracker, Kornmo;Grains biscuits;one;9;s;304;english
Marie;Korn kjeks flatbrød knekkebrød;stk;4;s;379;norwegian
Biscuit, Marie;Grains biscuits;one;4;s;379;english
Salte kjeks;Korn kjeks flatbrød knekkebrød;stk;5;ag;544;norwegian
Cracker, fatty and salted;Grains biscuits;one;5;ag;544;english
SIBAS, havrekjeks;Korn kjeks flatbrød knekkebrød;stk;16;s;557;norwegian
Biscuit, with oats, SIBAS;Grains biscuits;one;16;s;557;english
Start;Korn kjeks flatbrød knekkebrød;stk;7;s;606;norwegian
Cracker, Start;Grains biscuits;one;7;s;606;english
Vaffelkjeks;Korn kjeks flatbrød knekkebrød;stk;5;s;655;norwegian
Wafer, filled;Grains biscuits;one;5;s;655;english
Kokosmakroner;Korn kjeks flatbrød knekkebrød;stk;20;o;297;norwegian
Kokosmakroner;Korn kjeks flatbrød knekkebrød;stk;60;a;297;norwegian
Coconut macaroon;Grains biscuits;one;20;o;297;english
Coconut macaroon;Grains biscuits;one;60;a;297;english
Kransekakestang;Korn kjeks flatbrød knekkebrød;stk;40;o;312;norwegian
Almond sticks;Grains biscuits;one;40;o;312;english
Marengs;Korn kjeks flatbrød knekkebrød;stk;3;a;378;norwegian
Meringue;Grains biscuits;one;3;a;378;english
Pepperkaker;Korn kjeks flatbrød knekkebrød;stk;7;a;450;norwegian
Gingersnaps;Grains biscuits;one;7;a;450;english
Peppernøtter;Korn kjeks flatbrød knekkebrød;stk;5;m;451;norwegian
Ginger nuts;Grains biscuits;one;5;m;451;english
Serinakaker;Korn kjeks flatbrød knekkebrød;stk;10;ag;551;norwegian
Cookie, Serinakake;Grains biscuits;one;10;ag;551;english
Berlinerbolle;Korn kaker;stk;65;a.u;33;norwegian
Berliner, filled doughnut;Grains cakes;one;65;a.u;33;english
Bløtkake;Korn kaker;porsjon;95;ģ;39;norwegian
Sponge cake, layered, filled with whipped cream and jam;Grains cakes;portion;95;ģ;39;english
Croissant;Korn kaker;stk;45;NA;89;norwegian
Croissant;Korn kaker;stk;80;a.u;89;norwegian
Croissant;Grains cakes;one;45;NA;89;english
Croissant;Grains cakes;one;80;a.u;89;english
Cupcakes;Korn kaker;stk;60;a;90;norwegian
Cupcakes;Grains cakes;one;60;a;90;english
Delfiakake;Korn kaker;skive;25;ag;92;norwegian
Confectionery cake;Grains cakes;slice;25;ag;92;english
Donuts;Korn kaker;stk;65;a.o,u;96;norwegian
Doughnuts;Grains cakes;one;65;a.o,u;96;english
Eplepai, eplekake;Korn kaker;porsjon;80;ģ;117;norwegian
Apple pie, apple cake;Grains cakes;portion;80;ģ;117;english
Formkake;Korn kaker;skive;45;a;153;norwegian
Pound cake;Grains cakes;slice;45;a;153;english
Fyrstekake;Korn kaker;porsjon;80;ģ;161;norwegian
Macaroon cake, Norwegian Prince cake;Grains cakes;portion;80;ģ;161;english
Glutenfrie boller, hjemmelaget;Korn kaker;stk;60;a;171;norwegian
Gluten-free sweet bun, home-made;Grains cakes;one;60;a;171;english
Glutenfrie vafler;Korn kaker;plate;85;a;172;norwegian
Gluten-free waffles;Grains cakes;waffel;85;a;172;english
Glutenfrie vafler;Korn kaker;hjerte;17;a;172;norwegian
Gluten-free waffles;Grains cakes;piece;17;a;172;english
Gulrotkake;Korn kaker;porsjon;80;ģ;199;norwegian
Carrot cake;Grains cakes;portion;80;ģ;199;english
Hvetebolle, rosinbolle, hjemmelaget;Korn kaker;stk;60;a;221;norwegian
Sweet bun, raisin bun, home-made;Grains cakes;one;60;a;221;english
Hvetebolle, rosinbolle, kjøpt;Korn kaker;stk;50;NA;222;norwegian
Hvetebolle, rosinbolle, kjøpt;Korn kaker;stk;80;NA;222;norwegian
Hvetebolle, rosinbolle, kjøpt;Korn kaker;stk;115;a.u;222;norwegian
Sweet bun, raisin bun, industrially made;Grains cakes;one;50;NA;222;english
Sweet bun, raisin bun, industrially made;Grains cakes;one;80;NA;222;english
Sweet bun, raisin bun, industrially made;Grains cakes;one;115;a.u;222;english
Kakelefse, tykklefse, kjøpt;Korn kaker;stk;55;NA;250;norwegian
Kakelefse, tykklefse, kjøpt;Korn kaker;stk;120;u;250;norwegian
Soft Norwegian flatbread, lefse, filled, industrially made;Grains cakes;one;55;NA;250;english
Soft Norwegian flatbread, lefse, filled, industrially made;Grains cakes;one;120;u;250;english
Kakelefse, type Vestlandslefsa;Korn kaker;stk;35;u;251;norwegian
Soft Norwegian flatbread, Vestlandslefsa;Grains cakes;one;35;u;251;english
Kanelbolle, skillingsbolle, hjemmelaget;Korn kaker;stk;65;a;259;norwegian
Cinnamon roll, home-made;Grains cakes;one;65;a;259;english
Kanelbolle, skillingsbolle, kjøpt;Korn kaker;stk;50;NA;260;norwegian
Kanelbolle, skillingsbolle, kjøpt;Korn kaker;stk;100;NA;260;norwegian
Kanelbolle, skillingsbolle, kjøpt;Korn kaker;stk;140;a.u;260;norwegian
Cinnamon roll, industrially made;Grains cakes;one;50;NA;260;english
Cinnamon roll, industrially made;Grains cakes;one;100;NA;260;english
Cinnamon roll, industrially made;Grains cakes;one;140;a.u;260;english
Marsipankake;Korn kaker;porsjon;95;ģ;382;norwegian
Sponge cake, layered, filled with whipped cream and jam, covered with marzipan;Grains cakes;portion;95;ģ;382;english
Mazarin;Korn kaker;stk;55;u;384;norwegian
Swedish almond cake, macaroon tea cake;Grains cakes;one;55;u;384;english
Muffins, kjøpt;Korn kaker;stk;35;NA;407;norwegian
Muffins, kjøpt;Korn kaker;stk;100;NA;407;norwegian
Muffins, kjøpt;Korn kaker;stk;150;a.u;407;norwegian
Muffins, industrially made;Grains cakes;one;35;NA;407;english
Muffins, industrially made;Grains cakes;one;100;NA;407;english
Muffins, industrially made;Grains cakes;one;150;a.u;407;english
Muffins, med glasur og pynt, hjemmelaget;Korn kaker;stk;35;a;408;norwegian
Muffins, with icing, home-made;Grains cakes;one;35;a;408;english
Muffins, uten glasur og pynt, hjemmelaget;Korn kaker;stk;30;a;409;norwegian
Muffins, home-made;Grains cakes;one;30;a;409;english
Napoleonskake;Korn kaker;stk;150;i;414;norwegian
Napoleon cake;Grains cakes;one;150;i;414;english
Ostekake;Korn kaker;porsjon;80;ģ;429;norwegian
Cheese cake;Grains cakes;portion;80;ģ;429;english
Rullekake;Korn kaker;skive;25;ag;525;norwegian
Swiss roll;Grains cakes;slice;25;ag;525;english
Rømmevafler;Korn kaker;plate;75;a;536;norwegian
Waffles, made with sour cream;Grains cakes;waffel;75;a;536;english
Rømmevafler;Korn kaker;hjerte;15;a;536;norwegian
Waffles, made with sour cream;Grains cakes;piece;15;a;536;english
Sjokoladekake;Korn kaker;porsjon;80;ģ;567;norwegian
Chocolate cake;Grains cakes;portion;80;ģ;567;english
Skolebrød, skolebolle;Korn kaker;stk;115;NA;572;norwegian
Skolebrød, skolebolle;Korn kaker;stk;160;a.o,u;572;norwegian
Sweet bun, with custard, icing and desiccated coconut;Grains cakes;one;115;NA;572;english
Sweet bun, with custard, icing and desiccated coconut;Grains cakes;one;160;a.o,u;572;english
Smultringer;Korn kaker;stk;45;a.u;576;norwegian
Doughnuts;Grains cakes;one;45;a.u;576;english
Solskinnsbolle, kjøpt;Korn kaker;stk;100;NA;585;norwegian
Solskinnsbolle, kjøpt;Korn kaker;stk;125;NA;585;norwegian
Solskinnsbolle, kjøpt;Korn kaker;stk;160;a.u;585;norwegian
Sweet bun, with vanilla custard, industrially made;Grains cakes;one;100;NA;585;english
Sweet bun, with vanilla custard, industrially made;Grains cakes;one;125;NA;585;english
Sweet bun, with vanilla custard, industrially made;Grains cakes;one;160;a.u;585;english
Sukkerbrød;Korn kaker;porsjon;80;ģ;614;norwegian
Sponge cake, plain;Grains cakes;portion;80;ģ;614;english
Terteskjell;Korn kaker;stk;30;o;633;norwegian
Tart shell;Grains cakes;one;30;o;633;english
Vafler;Korn kaker;plate;85;a;656;norwegian
Waffles;Grains cakes;waffel;85;a;656;english
Vafler;Korn kaker;hjerte;17;a;656;norwegian
Waffles;Grains cakes;piece;17;a;656;english
Vannbakkels, med fyll;Korn kaker;stk;35;ag;661;norwegian
Cream puff, filled;Grains cakes;one;35;ag;661;english
Vannbakkels, uten fyll;Korn kaker;stk;20;n;662;norwegian
Cream puff;Grains cakes;one;20;n;662;english
Vørterkake, hvetekake;Korn kaker;skive;45;ag;667;norwegian
Malt loaf, bread cake;Grains cakes;slice;45;ag;667;english
Wienerbrød, med eggekrem;Korn kaker;stk;80;a.u;670;norwegian
Danish pastry, with custard filling;Grains cakes;one;80;a.u;670;english
Wienerbrød, med syltetøy;Korn kaker;stk;50;NA;671;norwegian
Wienerbrød, med syltetøy;Korn kaker;stk;80;m;671;norwegian
Danish pastry, with jam;Grains cakes;one;50;NA;671;english
Danish pastry, with jam;Grains cakes;one;80;m;671;english
Cashewnøtter;Nøtter frø;dl;60;a;76;norwegian
Cashew nuts;Nuts seeds;dl;60;a;76;english
Cashewnøtter;Nøtter frø;neve;20;z;76;norwegian
Cashew nuts;Nuts seeds;handful;20;z;76;english
Gresskarkjerner, squashfrø;Nøtter frø;dl;60;a;183;norwegian
Pumkpin seeds, squash seeds;Nuts seeds;dl;60;a;183;english
Gresskarkjerner, squashfrø;Nøtter frø;spiseskje;9;a;183;norwegian
Pumkpin seeds, squash seeds;Nuts seeds;tablespoon;9;a;183;english
Hasselnøtter;Nøtter frø;dl;60;a;208;norwegian
Hazel nuts;Nuts seeds;dl;60;a;208;english
Hasselnøtter;Nøtter frø;neve;20;z;208;norwegian
Hazel nuts;Nuts seeds;handful;20;z;208;english
Kastanjer, ristede;Nøtter frø;dl;70;ag;268;norwegian
Chestnuts, roasted;Nuts seeds;dl;70;ag;268;english
Kastanjer, ristede;Nøtter frø;stk one;8;ar;268;norwegian
Chestnuts, roasted;Nuts seeds;stk one;8;ar;268;english
Linfrø;Nøtter frø;dl;60;a;349;norwegian
Linseeds, flax seeds;Nuts seeds;dl;60;a;349;english
Linfrø;Nøtter frø;spiseskje;8;a;349;norwegian
Linseeds, flax seeds;Nuts seeds;tablespoon;8;a;349;english
Macadamianøtter;Nøtter frø;dl;60;a;363;norwegian
Macadamia nuts;Nuts seeds;dl;60;a;363;english
Macadamianøtter;Nøtter frø;neve;20;z;363;norwegian
Macadamia nuts;Nuts seeds;handful;20;z;363;english
Mandler;Nøtter frø;dl;60;a;375;norwegian
Almonds;Nuts seeds;dl;60;a;375;english
Mandler;Nøtter frø;neve;20;z;375;norwegian
Almonds;Nuts seeds;handful;20;z;375;english
Paranøtter;Nøtter frø;dl;65;a;437;norwegian
Brazil nuts;Nuts seeds;dl;65;a;437;english
Paranøtter;Nøtter frø;neve;20;z;437;norwegian
Brazil nuts;Nuts seeds;handful;20;z;437;english
Peanøtter;Nøtter frø;dl;60;a;445;norwegian
Peanuts;Nuts seeds;dl;60;a;445;english
Peanøtter;Nøtter frø;neve;20;z;445;norwegian
Peanuts;Nuts seeds;handful;20;z;445;english
Peanøttsmør;Nøtter frø;til en brødskive;15;ģ;446;norwegian
Peanut butter;Nuts seeds;for a slice of bread;15;ģ;446;english
Peanøttsmør;Nøtter frø;spiseskje;17;a;446;norwegian
Peanut butter;Nuts seeds;tablespoon;17;a;446;english
Pekannøtter;Nøtter frø;dl;45;a;447;norwegian
Pecan nuts;Nuts seeds;dl;45;a;447;english
Pekannøtter;Nøtter frø;stk;1,5;a;447;norwegian
Pecan nuts;Nuts seeds;one;1,5;a;447;english
Pinjekjerner;Nøtter frø;dl;60;a;458;norwegian
Pine nuts;Nuts seeds;dl;60;a;458;english
Pinjekjerner;Nøtter frø;spiseskje;10;a;458;norwegian
Pine nuts;Nuts seeds;tablespoon;10;a;458;english
Pistasjnøtter;Nøtter frø;dl;50;a;459;norwegian
Pistachio nuts;Nuts seeds;dl;50;a;459;english
Pistasjnøtter;Nøtter frø;stk;0,5;a;459;norwegian
Pistachio nuts;Nuts seeds;one;0,5;a;459;english
Sesamfrø;Nøtter frø;dl;60;a;554;norwegian
Sesame seeds;Nuts seeds;dl;60;a;554;english
Sesamfrø;Nøtter frø;spiseskje;9;a;554;norwegian
Sesame seeds;Nuts seeds;tablespoon;9;a;554;english
Solsikkefrø;Nøtter frø;dl;55;a;584;norwegian
Sunflower seeds;Nuts seeds;dl;55;a;584;english
Solsikkefrø;Nøtter frø;spiseskje;8;a;584;norwegian
Sunflower seeds;Nuts seeds;tablespoon;8;a;584;english
Valnøtter;Nøtter frø;dl;45;a;657;norwegian
Walnuts;Nuts seeds;dl;45;a;657;english
Valnøtter;Nøtter frø;neve;20;z;657;norwegian
